id;servidor;timestamp;NOME;USO_MEMORIA (MB)
1;Servidor01;2025-12-08 12:02:17.630307;PlugInLibraryService;1.5
1;Servidor01;2025-12-08 12:02:17.630307;ContainerMetadataExtractor;10.2
1;Servidor01;2025-12-08 12:02:17.630307;PlugInLibraryService;1.5
1;Servidor01;2025-12-08 12:02:17.630307;sirittsd;7.6
1;Servidor01;2025-12-08 12:02:17.630307;IMDPersistenceAgent;19.5
1;Servidor01;2025-12-08 12:02:17.630307;BTLEServerAgent;3.4
1;Servidor01;2025-12-08 12:02:17.630307;bluetoothuserd;10.1
1;Servidor01;2025-12-08 12:02:17.630307;ProtectedCloudKeySyncing;6.3
1;Servidor01;2025-12-08 12:02:17.630307;frauddefensed;4.1
1;Servidor01;2025-12-08 12:02:17.630307;useractivityd;11.7
1;Servidor01;2025-12-08 12:02:17.630307;mediaremoteagent;2.6
1;Servidor01;2025-12-08 12:02:17.630307;avconferenced;11.1
1;Servidor01;2025-12-08 12:02:17.630307;Opera Helper (Renderer);150.8
1;Servidor01;2025-12-08 12:02:17.630307;liveactivitiesd;9.1
1;Servidor01;2025-12-08 12:02:17.630307;AppSSOAgent;26.9
1;Servidor01;2025-12-08 12:02:17.630307;com.apple.dock.extra;28.3
1;Servidor01;2025-12-08 12:02:17.630307;SidecarRelay;5.5
1;Servidor01;2025-12-08 12:02:17.630307;UniversalControl;16.9
1;Servidor01;2025-12-08 12:02:17.630307;Spotlight;85.8
1;Servidor01;2025-12-08 12:02:17.630307;ReportCrash;3.0
1;Servidor01;2025-12-08 12:02:17.630307;WiFiAgent;31.8
1;Servidor01;2025-12-08 12:02:17.630307;extensionkitservice;5.1
1;Servidor01;2025-12-08 12:02:17.630307;com.apple.CloudDocs.iCloudDriveFileProvider;9.0
1;Servidor01;2025-12-08 12:02:17.630307;Opera Helper (Renderer);250.1
1;Servidor01;2025-12-08 12:02:17.630307;parsecd;13.7
1;Servidor01;2025-12-08 12:02:17.630307;networkserviceproxy;17.7
1;Servidor01;2025-12-08 12:02:17.630307;triald;12.3
1;Servidor01;2025-12-08 12:02:17.630307;itunescloudd;14.1
1;Servidor01;2025-12-08 12:02:17.630307;recentsd;8.0
1;Servidor01;2025-12-08 12:02:17.630307;SafeEjectGPUAgent;1.9
1;Servidor01;2025-12-08 12:02:17.630307;SafeEjectGPUService;3.2
1;Servidor01;2025-12-08 12:02:17.630307;Opera Helper (Renderer);169.8
1;Servidor01;2025-12-08 12:02:17.630307;amsaccountsd;11.1
1;Servidor01;2025-12-08 12:02:17.630307;appleaccountd;11.1
1;Servidor01;2025-12-08 12:02:17.630307;amsengagementd;12.6
1;Servidor01;2025-12-08 12:02:17.630307;generativeexperiencesd;14.7
1;Servidor01;2025-12-08 12:02:17.630307;iCloudNotificationAgent;11.4
1;Servidor01;2025-12-08 12:02:17.630307;Opera Helper (Renderer);134.3
1;Servidor01;2025-12-08 12:02:17.630307;AssetCacheLocatorService;6.4
1;Servidor01;2025-12-08 12:02:17.630307;assistantd;32.8
1;Servidor01;2025-12-08 12:02:17.630307;extensionkitservice;9.5
1;Servidor01;2025-12-08 12:02:17.630307;CalendarWidgetExtension;18.9
1;Servidor01;2025-12-08 12:02:17.630307;duetexpertd;68.7
1;Servidor01;2025-12-08 12:02:17.630307;PhotosReliveWidget;31.2
1;Servidor01;2025-12-08 12:02:17.630307;WeatherWidget;41.8
1;Servidor01;2025-12-08 12:02:17.630307;Opera Helper (Renderer);74.9
1;Servidor01;2025-12-08 12:02:17.630307;BatteriesAvocadoWidgetExtension;18.6
1;Servidor01;2025-12-08 12:02:17.630307;Opera Helper;21.7
1;Servidor01;2025-12-08 12:02:17.630307;PasswordManagerBrowserExtensionHelper;21.7
1;Servidor01;2025-12-08 12:02:17.630307;com.apple.audio.SandboxHelper;2.1
1;Servidor01;2025-12-08 12:02:17.630307;postersyncd;17.6
1;Servidor01;2025-12-08 12:02:17.630307;WiFiCloudAssetsXPCService;2.0
1;Servidor01;2025-12-08 12:02:17.630307;assistant_cdmd;10.6
1;Servidor01;2025-12-08 12:02:17.630307;SetStoreUpdateService;7.8
1;Servidor01;2025-12-08 12:02:17.630307;Opera Helper (Renderer);136.7
1;Servidor01;2025-12-08 12:02:17.630307;FeatureAccessAgent;8.4
1;Servidor01;2025-12-08 12:02:17.630307;axassetsd;13.6
1;Servidor01;2025-12-08 12:02:17.630307;mdbulkimport;13.4
1;Servidor01;2025-12-08 12:02:17.630307;voicebankingd;7.7
1;Servidor01;2025-12-08 12:02:17.630307;maild;9.7
1;Servidor01;2025-12-08 12:02:17.630307;com.apple.audio.SandboxHelper;2.1
1;Servidor01;2025-12-08 12:02:17.630307;WardaSynthesizer;7.0
1;Servidor01;2025-12-08 12:02:17.630307;KonaSynthesizer;6.8
1;Servidor01;2025-12-08 12:02:17.630307;SiriAUSP;6.7
1;Servidor01;2025-12-08 12:02:17.630307;MauiAUSP;6.9
1;Servidor01;2025-12-08 12:02:17.630307;MacinTalkAUSP;6.8
1;Servidor01;2025-12-08 12:02:17.630307;commerce;9.4
1;Servidor01;2025-12-08 12:02:17.630307;TrialArchivingService;4.8
1;Servidor01;2025-12-08 12:02:17.630307;keychainsharingmessagingd;4.4
1;Servidor01;2025-12-08 12:02:17.630307;storekitagent;9.6
1;Servidor01;2025-12-08 12:02:17.630307;chrome_crashpad_handler;2.5
1;Servidor01;2025-12-08 12:02:17.630307;Code Helper (GPU);77.5
1;Servidor01;2025-12-08 12:02:17.630307;Code Helper;22.4
1;Servidor01;2025-12-08 12:02:17.630307;ScopedBookmarkAgent;7.7
1;Servidor01;2025-12-08 12:02:17.630307;photolibraryd;70.0
1;Servidor01;2025-12-08 12:02:17.630307;PlugInLibraryService;1.8
1;Servidor01;2025-12-08 12:02:17.630307;imklaunchagent;9.0
1;Servidor01;2025-12-08 12:02:17.630307;CursorUIViewService;25.4
1;Servidor01;2025-12-08 12:02:17.630307;PAH_Extension;13.7
1;Servidor01;2025-12-08 12:02:17.630307;EmojiFunctionRowIM_Extension;13.1
1;Servidor01;2025-12-08 12:02:17.630307;Code Helper (Renderer);333.0
1;Servidor01;2025-12-08 12:02:17.630307;mediaanalysisd;271.7
1;Servidor01;2025-12-08 12:02:17.630307;photoanalysisd;98.8
1;Servidor01;2025-12-08 12:02:17.630307;IMTransferAgent;15.0
1;Servidor01;2025-12-08 12:02:17.630307;PlugInLibraryService;1.5
1;Servidor01;2025-12-08 12:02:17.630307;inputanalyticsd;6.2
1;Servidor01;2025-12-08 12:02:17.630307;Code Helper;68.5
1;Servidor01;2025-12-08 12:02:17.630307;Code Helper;48.7
1;Servidor01;2025-12-08 12:02:17.630307;Code Helper (Plugin);165.0
1;Servidor01;2025-12-08 12:02:17.630307;Code Helper;56.6
1;Servidor01;2025-12-08 12:02:17.630307;cloudphotod;14.5
1;Servidor01;2025-12-08 12:02:17.630307;UsageTrackingAgent;10.7
1;Servidor01;2025-12-08 12:02:17.630307;metrickitd;3.2
1;Servidor01;2025-12-08 12:02:17.630307;spotlightknowledged;23.3
1;Servidor01;2025-12-08 12:02:17.630307;WAAppKitBridgeService;5.2
1;Servidor01;2025-12-08 12:02:17.630307;heard;26.8
1;Servidor01;2025-12-08 12:02:17.630307;corespeechd;15.1
1;Servidor01;2025-12-08 12:02:17.630307;Siri;16.5
1;Servidor01;2025-12-08 12:02:17.630307;icdd;4.2
1;Servidor01;2025-12-08 12:02:17.630307;askpermissiond;8.6
1;Servidor01;2025-12-08 12:02:17.630307;AirPlayUIAgent;12.1
1;Servidor01;2025-12-08 12:02:17.630307;diagnostics_agent;7.1
1;Servidor01;2025-12-08 12:02:17.630307;TextInputMenuAgent;29.8
1;Servidor01;2025-12-08 12:02:17.630307;jetbrains-toolbox;379.9
1;Servidor01;2025-12-08 12:02:17.630307;figma_agent;17.9
1;Servidor01;2025-12-08 12:02:17.630307;ctkahp;4.7
1;Servidor01;2025-12-08 12:02:17.630307;SoftwareUpdateNotificationManager;25.5
1;Servidor01;2025-12-08 12:02:17.630307;TextInputSwitcher;17.2
1;Servidor01;2025-12-08 12:02:17.630307;localspeechrecognition;6.1
1;Servidor01;2025-12-08 12:02:17.630307;findmydevice-user-agent;6.6
1;Servidor01;2025-12-08 12:02:17.630307;com.apple.audio.SandboxHelper;2.1
1;Servidor01;2025-12-08 12:02:17.630307;SafariBookmarksSyncAgent;11.4
1;Servidor01;2025-12-08 12:02:17.630307;com.apple.audio.SandboxHelper;2.1
1;Servidor01;2025-12-08 12:02:17.630307;ServiceExtension;33.6
1;Servidor01;2025-12-08 12:02:17.630307;SafariLaunchAgent;4.7
1;Servidor01;2025-12-08 12:02:17.630307;com.apple.audio.SandboxHelper;2.1
1;Servidor01;2025-12-08 12:02:17.630307;ndoagent;5.2
1;Servidor01;2025-12-08 12:02:17.630307;com.apple.audio.SandboxHelper;2.1
1;Servidor01;2025-12-08 12:02:17.630307;AUCrashHandlerService;2.1
1;Servidor01;2025-12-08 12:02:17.630307;lockdownmoded;4.7
1;Servidor01;2025-12-08 12:02:17.630307;financed;9.8
1;Servidor01;2025-12-08 12:02:17.630307;siriknowledged;28.9
1;Servidor01;2025-12-08 12:02:17.630307;analyticsagent;5.7
1;Servidor01;2025-12-08 12:02:17.630307;Code Helper (Plugin);32.0
